country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)"
Afghanistan,SouthernAsia,652864,35530,54.4,106.3,20270,-2.4,623.2,8.6,1458,3568,3.2,26.7,5.3,63.5/61.0
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,3984.2,15.8,1962,4669,-0.1,57.4,1.7,79.9/75.6
Algeria,NorthernAfrica,2381741,41318,17.3,102,164779,3.8,4154.1,11.4,29992,47091,2,70.7,3,76.5/74.1
American Samoa,Polynesia,199,56,278.2,103.6,871,-0.8,69.5,5.6,7852,7582,0.5,87.2,2.6,77.8/71.1
Andorra,SouthernEurope,468,77,163.8,102.3,2812,0.8,39896.4,7.8,100,457,-1.6,85.1,1.2,63.5/61.0
Angola,MiddleAfrica,1246700,29784,23.9,96.2,117955,3,4714.1,6.6,21011,8790,3.5,44.1,6,63.0/57.4
Anguilla,Caribbean,91,15,165.7,97.6,320,2.9,21879.6,3.5,2,154,1.2,100,1.5,79.8/72.2
Antigua and Barbuda,Caribbean,442,102,231.8,92.3,1356,4.1,14764.5,5.2,61,491,1.1,23.8,2.1,78.2/73.3
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,2.4,14564.5,6.5,57733,55610,1,91.8,2.3,79.8/72.2
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3,3489.1,16.6,1776,3230,0.3,62.7,1.6,77.0/70.6
Aruba,Caribbean,180,105,584.8,90.4,2702,0.1,26005.4,4.5,95,1117,0.5,41.5,1.8,77.8/72.9
Australia,Oceania,7692060,24451,3.2,99.3,1230859,2.4,51352.2,5.5,189630,189406,1.5,89.4,1.9,84.4/80.2
Austria,WesternEurope,83871,8736,106,96.2,376967,1,44117.7,6.2,145503,149299,0.6,66,1.4,83.5/78.4
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,0.7,5438.7,5.2,9143,8532,1.3,54.6,2.1,74.6/68.6
Bahamas,Caribbean,13940,395,39.5,95.9,8854,-1.7,22817.2,14.7,365,2904,1.4,82.9,1.8,78.1/72.0
Bahrain,WesternAsia,771,1493,1963.9,168.3,31126,2.9,22600.2,1.3,12892,14749,2,88.8,2.1,77.5/75.6
Bangladesh,SouthernAsia,147570,164670,1265,101.7,194466,6.6,1207.9,4,36031,52624,1.2,34.3,2.2,72.9/69.8
Barbados,Caribbean,431,286,664.5,91.9,4385,0.9,15429.4,11.3,517,1621,0.3,31.5,1.8,77.7/72.9
Belarus,EasternEurope,207600,9468,46.7,87,54609,-3.9,5750.8,0.5,23414,27464,7,76.7,1.6,77.7/66.5
Belgium,WesternEurope,30528,11429,377.5,97.3,455107,1.5,40277.8,8.3,398033,372713,0.6,97.9,1.8,83.0/78.0
Belize,CentralAmerica,22966,375,16.4,99.2,1721,1.2,4789.4,11.5,246,952,2.2,44,2.6,72.7/67.2
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,5.2,779.1,1,410,2630,2.8,44,5.2,61.4/58.5
Bermuda,NorthernAmerica,53,61,1227,91.4,5853,0.4,94399.9,6.7,8,971,-0.6,100,1.5,85.1/77.5
Bhutan,SouthernAsia,38394,808,21.2,113.1,2074,5.2,2677.1,2.4,616,1688,1.6,38.6,2.2,68.9/68.6
Bolivia (Plurinational State of),SouthAmerica,1098581,11052,10.2,100.2,32998,4.8,3076.8,3.8,6969,8374,1.6,68.5,3,70.2/65.3
"Bonaire, Sint Eustatius and Saba",Caribbean,322,25,77.4,105.64,662,0.5,793.5,8.9,785,728,3.2,74.7,1.5,85.1/77.5
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,16251,3.1,4265,25.4,5327,9130,-1,39.8,1.3,78.8/73.7
Botswana,SouthernAfrica,582000,2292,4,97.7,14391,-0.3,6360.6,18.6,7321,6103,1.8,57.4,2.9,66.1/59.8
Brazil,SouthAmerica,8515767,209288,25,96.6,1772591,-3.8,8528.3,12.4,185235,137552,0.9,85.7,1.8,78.4/71.0
British Virgin Islands,Caribbean,151,31,208,97.1,908,-1.1,30144.5,1.2,57,444,2,46.2,1.5,59.3/58.0
Brunei Darussalam,South-easternAsia,5765,429,81.3,106,12930,-0.6,30552.7,2.1,4875,2679,1.4,77.2,1.9,78.4/75.1
Bulgaria,EasternEurope,111002,7085,65.3,94.6,48953,3,6846.8,8.1,26088,28875,-0.6,73.9,1.5,77.8/70.8
Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,11065,4.1,611.1,2.9,2019,3699,3,29.9,5.6,59.3/58.0
Burundi,EasternAfrica,27830,10864,423.1,96.9,2735,-4.1,244.6,1.7,123,625,3,12.1,6,58.0/54.2
Cabo Verde,WesternAfrica,4033,546,135.6,99.3,1603,1.5,3080.2,10.5,29,485,1.2,65.5,2.5,74.0/70.1
Cambodia,South-easternAsia,181035,16005,90.7,95.3,18050,7,1158.7,0.3,13204,15313,1.6,20.7,2.7,69.6/65.5
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,5.8,1217.3,4.6,2130,4899,2.7,54.4,5,57.7/55.1
Canada,NorthernAmerica,9984670,36624,4,98.5,1552808,0.9,43205.6,7.1,388911,402954,1,81.8,1.6,83.8/79.7
Cayman Islands,Caribbean,264,62,256.5,100.4,3726,0.7,62132,6.3,18,991,1.5,100,1.5,52.8/50.5
Central African Republic,MiddleAfrica,622984,4659,7.5,97.3,1633,4.8,333.2,6.9,213,147,0.4,40,5.1,51.0/47.8
Chad,MiddleAfrica,1284000,14900,11.8,100.2,10009,6.6,713,5.8,1990,1371,3.3,22.5,6.3,52.8/50.5
Channel Islands,NorthernEurope,180,165,870.1,98.4,125100,0.5,98.5,8.7,745,6549,0.5,31.5,1.5,82.4/78.7
Chile,SouthAmerica,756102,18055,24.3,98.2,240796,2.3,13416.2,6.8,59884,58804,0.9,89.5,1.8,81.3/76.2
"China, Hong Kong SAR",EasternAsia,1106,7365,7014.2,85.1,309236,2.4,42431,3.5,516588,547124,0.6,100,1.2,86.4/80.5
"China, Macao SAR",EasternAsia,30,623,20821.6,92.3,46178,-20.3,78586.4,3.2,1257,8924,2.3,100,1.2,86.2/80.3
China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,4.6,2118981,1588696,0.5,55.6,1.6,77.2/74.2
Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6056.1,10.5,31045,44831,1,76.4,1.9,77.4/70.2
